UID,ApplicationDate,Amount,Term,EmploymentType,LoanPurpose,Success
216009,2020-01-01,7000.0,36,Employed - full time,Not Known,0
217537,2020-01-01,1000.0,60,Employed - full time,Not Known,0
221803,2020-01-01,2000.0,24,Employed - part time,Consolidation,0
222260,2020-01-01,4000.0,48,Employed - full time,Not Known,0
222848,2020-01-01,7000.0,60,Employed - full time,Not Known,0
223136,2020-01-01,2000.0,12,Employed - full time,Not Known,0
225032,2020-01-01,5000.0,30,Retired,Not Known,0
225204,2020-01-01,15000.0,36,Employed - full time,Not Known,0
225703,2020-01-01,1000.0,36,Employed - full time,Consolidation,0
227350,2020-01-01,5000.0,24,Employed - full time,Consolidation,0
227377,2020-01-01,5000.0,36,Employed - full time,Car,0
227892,2020-01-01,6500.0,48,Employed - full time,Not Known,0
228377,2020-01-01,5000.0,36,Employed - full time,House / Home improvement,1
229756,2020-01-01,20000.0,48,Employed - full time,Consolidation,0
229965,2020-01-01,10000.0,36,Employed - full time,Not Known,0
229999,2020-01-01,15500.0,60,Employed - full time,Consolidation,0
231767,2020-01-01,10200.0,60,Employed - full time,Car,0
232307,2020-01-01,500.0,18,Employed - full time,Not Known,1
232669,2020-01-01,17000.0,48,Employed - full time,Consolidation,0
232924,2020-01-01,10000.0,36,Employed - full time,Not Known,0
232938,2020-01-01,10000.0,60,Employed - full time,Car,0
233082,2020-01-01,6500.0,48,Employed - full time,Not Known,0
233128,2020-01-01,2000.0,24,Employed - full time,House / Home improvement,0
233894,2020-01-01,700.0,12,Employed - full time,Not Known,0
236438,2020-01-02,10000.0,36,Employed - full time,Not Known,0
237303,2020-01-02,8000.0,48,Employed - full time,Not Known,0
238604,2020-01-02,1000.0,12,Employed - full time,Not Known,0
239100,2020-01-02,10000.0,24,Employed - full time,Consolidation,0
239650,2020-01-02,10000.0,24,Employed - full time,Not Known,0
239699,2020-01-02,1400.0,12,Employed - full time,Consolidation,0
240674,2020-01-02,20000.0,60,Employed - full time,Not Known,0
241610,2020-01-02,3500.0,60,Employed - full time,Consolidation,0
243530,2020-01-02,20000.0,36,Self employed,Not Known,0
244054,2020-01-02,1500.0,24,Employed - full time,Consolidation,0
244185,2020-01-02,1000.0,12,Employed - full time,Not Known,0
244997,2020-01-02,2000.0,60,Employed - full time,Not Known,0
245810,2020-01-02,6500.0,48,Employed - full time,Not Known,0
247807,2020-01-02,5000.0,60,Self employed,Consolidation,0
248290,2020-01-02,5000.0,24,Employed - full time,Not Known,0
248594,2020-01-02,6000.0,60,Employed - full time,House / Home improvement,0
249840,2020-01-02,20000.0,60,Employed - full time,Consolidation,0
251266,2020-01-02,8000.0,48,Employed - full time,Not Known,0
252583,2020-01-02,10000.0,24,Self employed,Not Known,0
253964,2020-01-02,5200.0,60,Employed - full time,Not Known,0
255595,2020-01-02,2000.0,60,Employed - full time,Not Known,0
257007,2020-01-02,6500.0,48,Employed - full time,Not Known,1
257370,2020-01-02,1000.0,12,Employed - full time,Not Known,0
258900,2020-01-02,2000.0,24,Employed - part time,House / Home improvement,0
260381,2020-01-02,2500.0,60,Employed - full time,Not Known,0
266667,2020-01-02,5000.0,60,Employed - full time,Consolidation,0
267345,2020-01-02,5000.0,48,Employed - full time,Consolidation,0
269187,2020-01-02,9000.0,48,Self employed,Car,0
269512,2020-01-02,10500.0,60,Employed - full time,Not Known,0
269829,2020-01-02,6500.0,48,Employed - full time,Not Known,0
271091,2020-01-02,6000.0,36,Employed - full time,Consolidation,0
